product_id,product_name,category,sub_category,brand,cost_price,selling_price,supplier,reorder_level
P0001,StepUp Gym Equipment 1,Sports,Gym Equipment,StepUp,11009,18741.74,Supplier 4,70
P0002,StepUp Perfume 2,Beauty,Perfume,GlowCare,19149,32643.86,Supplier 19,70
P0003,FitPro Running Shoes 3,Footwear,Running Shoes,DailyStyle,11315,14512.0,Supplier 4,90
P0004,GlowCare Makeup 4,Beauty,Makeup,DailyStyle,3087,4934.65,Supplier 9,37
P0005,DailyStyle Perfume 5,Beauty,Perfume,FitPro,6791,11462.26,Supplier 13,91
P0006,UrbanWear Fitness Band 6,Sports,Fitness Band,TechNova,17478,25277.48,Supplier 50,75
P0007,DailyStyle Smart Watch 7,Electronics,Smart Watch,GlowCare,19174,24726.69,Supplier 28,66
P0008,DailyStyle Mobile 8,Electronics,Mobile,UrbanWear,10809,16694.77,Supplier 50,59
P0009,GlowCare Sandals 9,Footwear,Sandals,UrbanWear,14790,26964.86,Supplier 15,45
P0010,UrbanWear Mobile 10,Electronics,Mobile,StepUp,3111,4082.79,Supplier 40,38
P0011,UrbanWear Mobile 11,Electronics,Mobile,TechNova,11548,21869.55,Supplier 29,80
P0012,StepUp Jeans 12,Fashion,Jeans,StepUp,7148,13867.21,Supplier 35,86
P0013,StepUp Smart Watch 13,Electronics,Smart Watch,DailyStyle,16127,29400.2,Supplier 45,22
P0014,StepUp Perfume 14,Beauty,Perfume,UrbanWear,17562,21838.03,Supplier 19,45
P0015,UrbanWear Yoga Mat 15,Sports,Yoga Mat,UrbanWear,2039,3394.86,Supplier 25,54
P0016,DailyStyle Mobile 16,Electronics,Mobile,GlowCare,925,1380.56,Supplier 15,68
P0017,GlowCare Fitness Band 17,Sports,Fitness Band,FitPro,3563,7496.1,Supplier 35,31
P0018,FitPro Running Shoes 18,Footwear,Running Shoes,DailyStyle,16705,36196.25,Supplier 2,25
P0019,GlowCare Sports Shoes 19,Footwear,Sports Shoes,DailyStyle,10291,15781.97,Supplier 11,22
P0020,TechNova Smart Watch 20,Electronics,Smart Watch,StepUp,11831,18401.68,Supplier 33,55
P0021,UrbanWear Jackets 21,Fashion,Jackets,FitPro,8743,18173.88,Supplier 18,48
P0022,UrbanWear Sandals 22,Footwear,Sandals,DailyStyle,13172,24459.51,Supplier 25,86
P0023,FitPro Fitness Band 23,Sports,Fitness Band,StepUp,7752,12537.57,Supplier 28,59
P0024,StepUp Yoga Mat 24,Sports,Yoga Mat,DailyStyle,15018,26164.87,Supplier 9,94
P0025,TechNova Fitness Band 25,Sports,Fitness Band,DailyStyle,6929,14291.67,Supplier 46,87
P0026,FitPro Sandals 26,Footwear,Sandals,StepUp,5056,9385.11,Supplier 21,28
P0027,StepUp Fitness Band 27,Sports,Fitness Band,DailyStyle,4179,5784.3,Supplier 2,60
P0028,DailyStyle Makeup 28,Beauty,Makeup,DailyStyle,10240,16824.37,Supplier 18,39
P0029,FitPro Running Shoes 29,Footwear,Running Shoes,FitPro,4610,6383.68,Supplier 18,97
P0030,StepUp Fitness Band 30,Sports,Fitness Band,DailyStyle,7866,14130.17,Supplier 2,65
P0031,FitPro Jackets 31,Fashion,Jackets,GlowCare,15917,21234.66,Supplier 46,67
P0032,StepUp Sandals 32,Footwear,Sandals,StepUp,16403,27456.11,Supplier 15,24
P0033,StepUp Skincare 33,Beauty,Skincare,DailyStyle,9142,19657.11,Supplier 43,45
P0034,GlowCare Running Shoes 34,Footwear,Running Shoes,FitPro,6102,12979.58,Supplier 32,61
P0035,UrbanWear Skincare 35,Beauty,Skincare,FitPro,14310,22965.64,Supplier 48,68
P0036,FitPro Laptop 36,Electronics,Laptop,DailyStyle,19041,34155.86,Supplier 46,24
P0037,UrbanWear Gym Equipment 37,Sports,Gym Equipment,StepUp,15098,25015.88,Supplier 34,88
P0038,FitPro Perfume 38,Beauty,Perfume,DailyStyle,1586,2787.71,Supplier 4,44
P0039,TechNova Laptop 39,Electronics,Laptop,GlowCare,13342,27810.03,Supplier 11,74
P0040,StepUp Smart Watch 40,Electronics,Smart Watch,GlowCare,2087,3944.33,Supplier 42,77
P0041,FitPro Jackets 41,Fashion,Jackets,DailyStyle,16705,21936.53,Supplier 35,37
P0042,StepUp Makeup 42,Beauty,Makeup,GlowCare,10899,17993.0,Supplier 38,45
P0043,DailyStyle Skincare 43,Beauty,Skincare,DailyStyle,8494,12945.49,Supplier 11,35
P0044,UrbanWear Shirts 44,Fashion,Shirts,FitPro,15025,27556.94,Supplier 46,69
P0045,GlowCare Fitness Band 45,Sports,Fitness Band,UrbanWear,5539,8744.3,Supplier 50,41
P0046,StepUp Smart Watch 46,Electronics,Smart Watch,StepUp,5218,7107.56,Supplier 50,26
P0047,GlowCare Makeup 47,Beauty,Makeup,TechNova,10442,20154.75,Supplier 41,43
P0048,TechNova Shirts 48,Fashion,Shirts,UrbanWear,6947,8360.94,Supplier 30,83
P0049,GlowCare Perfume 49,Beauty,Perfume,StepUp,488,882.3,Supplier 14,95
P0050,FitPro Makeup 50,Beauty,Makeup,FitPro,13739,22557.73,Supplier 1,51
P0051,StepUp Yoga Mat 51,Sports,Yoga Mat,UrbanWear,18569,37511.63,Supplier 12,38
P0052,UrbanWear Jackets 52,Fashion,Jackets,DailyStyle,11736,14514.16,Supplier 37,97
P0053,GlowCare Laptop 53,Electronics,Laptop,StepUp,3173,3963.18,Supplier 11,56
P0054,FitPro Fitness Band 54,Sports,Fitness Band,StepUp,19795,35082.33,Supplier 30,94
P0055,TechNova Mobile 55,Electronics,Mobile,TechNova,3351,6596.48,Supplier 25,28
P0056,StepUp Perfume 56,Beauty,Perfume,UrbanWear,2427,3623.1,Supplier 45,55
P0057,DailyStyle Smart Watch 57,Electronics,Smart Watch,StepUp,13858,23900.15,Supplier 40,27
P0058,GlowCare Jackets 58,Fashion,Jackets,DailyStyle,17632,38564.52,Supplier 45,97
P0059,FitPro Laptop 59,Electronics,Laptop,FitPro,10670,15574.57,Supplier 23,36
P0060,DailyStyle Fitness Band 60,Sports,Fitness Band,GlowCare,16565,28486.93,Supplier 32,43
P0061,UrbanWear Gym Equipment 61,Sports,Gym Equipment,UrbanWear,9818,21395.95,Supplier 2,79
P0062,GlowCare Jackets 62,Fashion,Jackets,GlowCare,7093,14182.91,Supplier 3,62
P0063,StepUp Smart Watch 63,Electronics,Smart Watch,DailyStyle,7257,8790.38,Supplier 19,52
P0064,TechNova Jeans 64,Fashion,Jeans,UrbanWear,10139,17304.13,Supplier 8,62
P0065,UrbanWear Laptop 65,Electronics,Laptop,StepUp,18942,34398.55,Supplier 13,62
P0066,UrbanWear Smart Watch 66,Electronics,Smart Watch,DailyStyle,15999,33856.49,Supplier 9,81
P0067,FitPro Sports Shoes 67,Footwear,Sports Shoes,TechNova,15393,32203.05,Supplier 30,72
P0068,DailyStyle Jackets 68,Fashion,Jackets,TechNova,10108,17840.04,Supplier 36,88
P0069,TechNova Shirts 69,Fashion,Shirts,UrbanWear,19220,36239.18,Supplier 10,55
P0070,StepUp Jeans 70,Fashion,Jeans,FitPro,12595,23004.9,Supplier 39,69
P0071,TechNova Sports Shoes 71,Footwear,Sports Shoes,DailyStyle,4128,8522.64,Supplier 21,24
P0072,StepUp Laptop 72,Electronics,Laptop,TechNova,3144,5335.54,Supplier 29,58
P0073,TechNova Sports Shoes 73,Footwear,Sports Shoes,UrbanWear,10206,14033.38,Supplier 50,45
P0074,GlowCare Jeans 74,Fashion,Jeans,FitPro,16880,20676.9,Supplier 10,44
P0075,TechNova Laptop 75,Electronics,Laptop,StepUp,17458,26367.84,Supplier 50,32
P0076,UrbanWear Fitness Band 76,Sports,Fitness Band,GlowCare,4648,6531.31,Supplier 25,86
P0077,DailyStyle Shirts 77,Fashion,Shirts,FitPro,10490,22368.22,Supplier 6,62
P0078,DailyStyle Skincare 78,Beauty,Skincare,DailyStyle,3678,6328.28,Supplier 20,22
P0079,StepUp Yoga Mat 79,Sports,Yoga Mat,TechNova,7176,10913.84,Supplier 18,88
P0080,StepUp Laptop 80,Electronics,Laptop,TechNova,4155,6118.88,Supplier 8,21
P0081,FitPro Fitness Band 81,Sports,Fitness Band,TechNova,17144,22327.92,Supplier 36,60
P0082,StepUp Mobile 82,Electronics,Mobile,UrbanWear,9582,16999.26,Supplier 20,98
P0083,UrbanWear Smart Watch 83,Electronics,Smart Watch,GlowCare,14837,18557.02,Supplier 44,26
P0084,GlowCare Jeans 84,Fashion,Jeans,StepUp,2062,2651.98,Supplier 46,96
P0085,TechNova Fitness Band 85,Sports,Fitness Band,TechNova,14909,27079.45,Supplier 13,88
P0086,DailyStyle Jeans 86,Fashion,Jeans,GlowCare,18905,25177.59,Supplier 7,78
P0087,StepUp Smart Watch 87,Electronics,Smart Watch,StepUp,15550,25976.99,Supplier 40,53
P0088,DailyStyle Laptop 88,Electronics,Laptop,TechNova,6308,11982.77,Supplier 21,78
P0089,TechNova Skincare 89,Beauty,Skincare,GlowCare,2441,4089.49,Supplier 30,41
P0090,UrbanWear Laptop 90,Electronics,Laptop,GlowCare,19131,25394.37,Supplier 46,33
P0091,FitPro Smart Watch 91,Electronics,Smart Watch,GlowCare,2624,5228.14,Supplier 26,95
P0092,GlowCare Skincare 92,Beauty,Skincare,GlowCare,8285,14481.76,Supplier 5,63
P0093,GlowCare Sports Shoes 93,Footwear,Sports Shoes,FitPro,19664,32074.9,Supplier 22,89
P0094,DailyStyle Running Shoes 94,Footwear,Running Shoes,FitPro,2852,5531.07,Supplier 32,34
P0095,UrbanWear Fitness Band 95,Sports,Fitness Band,GlowCare,15468,23594.55,Supplier 12,59
P0096,FitPro Skincare 96,Beauty,Skincare,GlowCare,19903,26047.94,Supplier 21,83
P0097,FitPro Shirts 97,Fashion,Shirts,DailyStyle,7430,14986.56,Supplier 1,38
P0098,FitPro Sandals 98,Footwear,Sandals,FitPro,17708,26411.54,Supplier 29,45
P0099,DailyStyle Sports Shoes 99,Footwear,Sports Shoes,TechNova,10674,16008.17,Supplier 28,64
P0100,FitPro Jackets 100,Fashion,Jackets,GlowCare,566,1025.3,Supplier 9,57
P0101,UrbanWear Jeans 101,Fashion,Jeans,DailyStyle,18285,39640.04,Supplier 36,65
P0102,DailyStyle Jeans 102,Fashion,Jeans,FitPro,1321,1895.95,Supplier 26,100
P0103,GlowCare Smart Watch 103,Electronics,Smart Watch,FitPro,12843,20626.28,Supplier 14,42
P0104,TechNova Skincare 104,Beauty,Skincare,GlowCare,6467,11352.31,Supplier 10,56
P0105,UrbanWear Running Shoes 105,Footwear,Running Shoes,StepUp,680,864.79,Supplier 47,82
P0106,GlowCare Skincare 106,Beauty,Skincare,GlowCare,3074,4110.62,Supplier 45,97
P0107,GlowCare Perfume 107,Beauty,Perfume,FitPro,6191,10242.36,Supplier 29,69
P0108,UrbanWear Mobile 108,Electronics,Mobile,FitPro,6388,10379.04,Supplier 32,50
P0109,FitPro Yoga Mat 109,Sports,Yoga Mat,TechNova,13762,29265.78,Supplier 3,24
P0110,GlowCare Yoga Mat 110,Sports,Yoga Mat,DailyStyle,12377,16253.04,Supplier 6,38
P0111,FitPro Yoga Mat 111,Sports,Yoga Mat,FitPro,15535,26672.81,Supplier 6,51
P0112,FitPro Perfume 112,Beauty,Perfume,FitPro,2858,5384.68,Supplier 20,98
P0113,GlowCare Jeans 113,Fashion,Jeans,GlowCare,17831,35279.12,Supplier 33,80
P0114,TechNova Fitness Band 114,Sports,Fitness Band,TechNova,11163,18095.4,Supplier 11,24
P0115,FitPro Fitness Band 115,Sports,Fitness Band,TechNova,10263,19776.51,Supplier 4,100
P0116,DailyStyle Perfume 116,Beauty,Perfume,TechNova,5840,10353.5,Supplier 48,99
P0117,FitPro Jeans 117,Fashion,Jeans,UrbanWear,16184,20756.14,Supplier 18,52
P0118,TechNova Sports Shoes 118,Footwear,Sports Shoes,UrbanWear,9506,14023.41,Supplier 48,34
P0119,DailyStyle Gym Equipment 119,Sports,Gym Equipment,GlowCare,19691,38180.2,Supplier 24,42
P0120,FitPro Smart Watch 120,Electronics,Smart Watch,UrbanWear,8039,13545.06,Supplier 22,30
P0121,GlowCare Sports Shoes 121,Footwear,Sports Shoes,GlowCare,5351,10903.27,Supplier 16,76
P0122,TechNova Running Shoes 122,Footwear,Running Shoes,UrbanWear,19231,37199.7,Supplier 42,53
P0123,GlowCare Shirts 123,Fashion,Shirts,TechNova,5791,9636.31,Supplier 31,88
P0124,StepUp Sandals 124,Footwear,Sandals,FitPro,13081,21905.31,Supplier 28,21
P0125,FitPro Laptop 125,Electronics,Laptop,DailyStyle,12817,24076.65,Supplier 3,32
